eventName,gender,age,location,bib,url
Individual Triathlon,,Age 33,,1,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275697
Individual Triathlon,,Age 32,,2,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275698
Individual Triathlon,,Age 19,,4,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275699
Individual Triathlon,,Age 35,,5,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275700
Individual Triathlon,,Age 30,,9,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275701
Individual Triathlon,,Age 37,,3,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275702
Individual Triathlon,,Age 15,,458,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275703
Individual Triathlon,,Age 33,,52,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U26943398
Individual Triathlon,,Age 40,,80,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275705
Individual Triathlon,,Age 34,,23,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275706
Individual Triathlon,,Age 41,,24,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275707
Individual Triathlon,,Age 44,,8,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U21436162
Individual Triathlon,,Age 52,,108,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275709
Individual Triathlon,,Age 44,,6,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275710
Individual Triathlon,,Age 47,,22,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U7120403
Individual Triathlon,,Age 26,,131,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275712
Individual Triathlon,,Age 47,,153,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275713
Individual Triathlon,,Age 37,,485,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275714
Individual Triathlon,,Age 15,,112,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U64345286
Individual Triathlon,,Age 15,,113,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275716
Individual Triathlon,,Age 55,,461,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275717
Individual Triathlon,,Age 15,,115,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275718
Individual Triathlon,,Age 40,,81,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275719
Individual Triathlon,,Age 43,,97,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275720
Individual Triathlon,,Age 26,,132,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275721
Individual Triathlon,,Age 53,,182,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275722
Individual Triathlon,,Age 63,,352,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275723
Individual Triathlon,,Age 65,,360,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U17895107
Individual Triathlon,,Age 36,,432,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275725
Individual Triathlon,,Age 51,,470,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275726
Individual Triathlon,,Age 56,,311,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275727
Individual Triathlon,,Age 22,,126,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275728
Individual Triathlon,,Age 34,,55,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275729
Individual Triathlon,,Age 58,,16,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U20373324
Individual Triathlon,,Age 50,,19,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275731
Individual Triathlon,,Age 39,,237,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275732
Individual Triathlon,,Age 35,,57,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275733
Individual Triathlon,,Age 42,,89,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U30369438
Individual Triathlon,,Age 21,,124,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275735
Individual Triathlon,,Age 49,,481,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U3004925
Individual Triathlon,,Age 31,,218,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U25707510
Individual Triathlon,,Age 33,,50,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275738
Individual Triathlon,,Age 34,,53,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U61488426
Individual Triathlon,,Age 20,,122,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275740
Individual Triathlon,,Age 49,,164,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275741
Individual Triathlon,,Age 40,,34,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275742
Individual Triathlon,,Age 17,,119,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275743
Individual Triathlon,,Age 15,,114,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275744
Individual Triathlon,,Age 19,,120,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275745
Individual Triathlon,,Age 46,,435,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275746
Individual Triathlon,,Age 16,,117,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275747
Individual Triathlon,,Age 36,,60,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U34787089
Individual Triathlon,,Age 62,,17,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275749
Individual Triathlon,,Age 29,,216,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275750
Individual Triathlon,,Age 41,,88,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U50577750
Individual Triathlon,,Age 22,,28,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275752
Individual Triathlon,,Age 53,,179,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U17421490
Individual Triathlon,,Age 26,,100,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275754
Individual Triathlon,,Age 46,,107,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U24694139
Individual Triathlon,,Age 57,,313,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U64880423
Individual Triathlon,,Age 58,,323,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275757
Individual Triathlon,,Age 60,,339,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275758
Individual Triathlon,,Age 16,,201,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275759
Individual Triathlon,,Age 24,,18,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U47553367
Individual Triathlon,,Age 59,,330,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275761
Individual Triathlon,,Age 46,,151,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275762
Individual Triathlon,,Age 39,,72,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275763
Individual Triathlon,,Age 42,,91,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275764
Individual Triathlon,,Age 60,,457,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U3350241
Individual Triathlon,,Age 60,,462,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275766
Individual Triathlon,,Age 48,,162,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U19036002
Individual Triathlon,,Age 50,,165,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275768
Individual Triathlon,,Age 42,,90,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U55979756
Individual Triathlon,,Age 45,,248,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275770
Individual Triathlon,,Age 51,,171,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U15337425
Individual Triathlon,,Age 40,,484,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275772
Individual Triathlon,,Age 65,,357,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U14010810
Individual Triathlon,,Age 39,,10,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275774
Individual Triathlon,,Age 26,,135,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275775
Individual Triathlon,,Age 41,,35,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275776
Individual Triathlon,,Age 28,,430,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275777
Individual Triathlon,,Age 38,,66,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275778
Individual Triathlon,,Age 14,,110,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U21957822
Individual Triathlon,,Age 25,,130,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U49882031
Individual Triathlon,,Age 53,,180,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U35344552
Individual Triathlon,,Age 48,,159,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275782
Individual Triathlon,,Age 32,,221,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U56348058
Individual Triathlon,,Age 58,,410,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275784
Individual Triathlon,,Age 30,,416,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275785
Individual Triathlon,,Age 68,,463,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U63275786
Individual Triathlon,,Age 47,,253,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U60946027
Individual Triathlon,,Age 39,,71,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U57823768
Individual Triathlon,,Age 51,,264,https://runsignup.com/Race/Results/131115/IndividualResult/GBFL?resultSetId=336055#U11538322
