eventName,gender,age,location,bib,url
Individual Triathlon,,Age 17,"Brooklyn, NY",2,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U49161546
Individual Triathlon,,Age 22,"West Islip, NY",32,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U90899569
Individual Triathlon,,Age 46,"Huntington, NY",10,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U91017096
Individual Triathlon,,Age 28,"Shirley, NY",4,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U35791717
Individual Triathlon,,Age 57,"Florence, MA",446,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U3165437
Individual Triathlon,,Age 33,"Island park, NY",71,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U42964126
Individual Triathlon,,Age 32,"Northport, NY",5,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U16179842
Individual Triathlon,,Age 25,"Southampton, NY",401,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U78209145
Individual Triathlon,,Age 36,"Stamford, CT",411,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U91026659
error_not_found,error_not_found,error_not_found,error_not_found,error_not_found,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U30369438
Individual Triathlon,,Age 22,"Massapequa, NY",33,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U68950182
Individual Triathlon,,Age 30,"West Hempstead, NY",56,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U78288635
Individual Triathlon,,Age 59,"Wantagh, NY",6,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U23098504
Individual Triathlon,,Age 36,"Oyster Bay, NY",7,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U61488426
Individual Triathlon,,Age 45,"Syosset, NY",484,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U77323476
Individual Triathlon,,Age 32,"Syosset, NY",9,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U3160547
Individual Triathlon,,Age 53,"Jackson Heights, NY",441,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U40809089
Individual Triathlon,,Age 52,"Plainview, NY",164,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U38107145
Individual Triathlon,,Age 31,"Montauk, NY",12,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U90812082
Individual Triathlon,,Age 25,"New York, NY",39,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U65497622
Individual Triathlon,,Age 17,"Westbury, NY",249,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U64345286
Individual Triathlon,,Age 38,"Huntington, NY",97,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U12675492
Individual Triathlon,,Age 46,"Melville, NY",436,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U138881
Individual Triathlon,,Age 40,"Bohemia, NY",475,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U43738877
Individual Triathlon,,Age 30,"Chicago, IL",500,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U73774746
Individual Triathlon,,Age 45,"Larchmont, NY",435,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U6236173
Individual Triathlon,,Age 22,"Plainview, NY",34,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U51065575
Individual Triathlon,,Age 60,"Sound Beach, NY",201,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U9951922
Individual Triathlon,,Age 32,"Sayville, NY",408,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U76103605
Individual Triathlon,,Age 35,"Syosset, NY",73,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U49450383
Individual Triathlon,,Age 55,"East Rockaway, NY",180,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U45308261
Individual Triathlon,,Age 66,"Glen Head, NY",218,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U51269334
Individual Triathlon,,Age 44,"New Rochelle, NY",131,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U55979756
Individual Triathlon,,Age 41,"Great Neck, NY",110,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U50008483
Individual Triathlon,,Age 16,"East Islip, NY",23,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U16303349
Individual Triathlon,,Age 28,"Moriches, NY",45,https://runsignup.com/Race/Results/131115/IndividualResult/gTcd?resultSetId=482363#U34462330
