Place,Bib,Name,Division,Division Place,Wave,Swim,T1,Bike,T2,Run,Chip Time,Clock Time
225,265,A Andrea O'BRIEN,F 50-54,2,Wave 3,16:55,2:45,27:29,1:42,35:58,1:24:50,1:32:52
226,453,R Romeo SANCHEZ,M 40-44,17,Wave 1,22:01,3:29,25:36,1:52,31:52,1:24:52,1:24:52
227,289,H Henry DAVISON,M 60-64,16,Wave 4,19:05,1:56,28:42,1:34,33:37,1:24:56,1:38:05
228,76,M Matthew CLASTER,M 35-39,17,Wave 1,25:26,4:01,29:05,1:17,25:13,1:25:04,1:25:04
229,340,H Howard ROTHENBERG,M 60-64,17,Wave 4,23:14,4:18,27:09,1:56,28:27,1:25:06,1:38:14
230,633,D David KRISTON,M 35-39,18,Wave 1,25:59,3:08,25:06,2:01,29:08,1:25:23,1:25:23
231,176,M Marc STRENT,M 50-54,15,Wave 2,19:24,4:08,29:08,1:41,31:05,1:25:27,1:29:27
232,436,D David LANIADO,M 50-54,16,Wave 2,20:29,2:29,27:29,2:07,32:52,1:25:28,1:29:27
233,190,I Isabelle ABALEM-DIAS,F 40-44,8,Wave 3,25:14,3:01,27:06,2:15,27:57,1:25:34,1:33:37
234,483,M Mary CONNELLY,F 60-64,3,Wave 4,22:36,3:19,30:04,1:57,27:42,1:25:39,1:38:48
235,140,A Andrew TRANCHINA,M 25-29,12,Wave 4,23:29,5:38,30:19,1:49,24:23,1:25:39,1:38:48
236,157,I Isaac KASHANIAN,M 45-49,10,Wave 2,22:49,2:03,27:33,2:30,30:48,1:25:45,1:29:45
237,282,J Josephine BISHOP,F 60-64,4,Wave 3,23:07,3:26,29:07,1:59,28:06,1:25:47,1:33:50
238,144,E Ethan GOLDFARB,M 30-34,13,Wave 2,12:36,3:40,36:13,1:01,32:14,1:25:47,1:29:47
239,199,M Morgan PEKERA,F 25-29,6,Wave 3,21:49,2:44,31:47,2:29,27:00,1:25:51,1:33:54
240,68,R Robert OGRUDEK,M 35-39,19,Wave 1,20:54,3:55,29:30,3:09,28:25,1:25:54,1:25:54
241,27,J Joseph LENNON,M 45-49,11,Wave 1,18:18,3:08,30:46,2:07,31:36,1:25:56,1:25:56
242,381,P Pauline SCHACHNER,F 60-64,5,Wave 4,21:03,2:47,27:02,2:03,33:01,1:25:57,1:39:05
243,51,S Stuyve PIERREPONT,M 30-34,14,Wave 1,22:38,2:17,29:56,1:34,29:33,1:26:00,1:26:00
244,382,J Joyce BRAUN,F 60-64,6,Wave 4,22:42,3:11,26:52,2:29,30:47,1:26:03,1:39:11
245,346,J Joseph PICKARD,M 60-64,18,Wave 4,21:15,3:35,25:51,2:36,32:56,1:26:16,1:39:24
246,95,D David WEINER,M 40-44,18,Wave 1,23:40,4:00,27:48,1:58,28:50,1:26:19,1:26:19
247,276,O Ora KRIEGSTEIN,F 55-59,9,Wave 3,22:53,3:09,28:58,2:46,28:36,1:26:25,1:34:28
248,449,K Keith MILLER,M 35-39,20,Wave 1,25:05,3:55,28:53,1:35,27:00,1:26:31,1:26:31
249,445,L Larry BROWN,M 65-69,8,Wave 4,19:57,3:15,26:15,2:14,35:01,1:26:44,1:39:52
250,404,N Nicholas SWIST,M Friends/Family,3,Wave 5,21:45,2:46,31:53,1:22,29:02,1:26:51,1:43:51
251,166,J Jdtokyo VERGEL DE DIOS,M 50-54,17,Wave 2,24:32,4:49,28:34,3:19,25:36,1:26:52,1:30:51
252,228,K Katelyn HUGHES,F 35-39,7,Wave 3,19:54,1:59,27:14,2:14,35:35,1:26:57,1:35:00
253,268,C Cristina VILLAGRA,F 55-59,10,Wave 3,20:44,3:27,30:25,2:12,30:19,1:27:08,1:35:11
254,226,M Maggie HOLY,F 30-34,9,Wave 3,24:25,2:52,32:16,1:36,26:07,1:27:18,1:35:21
255,219,K Kaitlyn WELDEN,F 30-34,10,Wave 3,24:30,2:45,30:46,1:19,28:04,1:27:26,1:35:29
256,181,S Seth OLIPHANT,M 50-54,18,Wave 2,22:06,4:15,29:55,2:56,28:21,1:27:35,1:31:35
257,128,A Anthony DEL GIUDICE,M 20-24,8,Wave 2,23:49,3:32,31:31,2:30,26:12,1:27:37,1:31:37
258,36,P Peter CRISCUOLO,M 30-34,15,Wave 1,24:45,1:50,26:20,1:35,33:06,1:27:38,1:27:38
259,267,H Heidi CUMMINGS,F 50-54,3,Wave 3,20:36,2:53,27:55,1:36,34:44,1:27:46,1:35:48
260,301,S Stephen BARONE,M 60-64,19,Wave 4,21:36,4:20,29:41,1:55,30:26,1:27:59,1:41:08
261,373,F Frank RESTA,M 70-74,3,Wave 4,23:49,4:19,26:41,1:36,31:37,1:28:03,1:41:11
262,371,L Louis BASSO,M 70-74,4,Wave 4,21:59,2:35,26:37,1:47,35:21,1:28:21,1:41:30
263,160,L Lawrence LOH,M 45-49,12,Wave 2,28:00,4:15,26:44,1:27,27:59,1:28:27,1:32:27
264,129,K Kenneth RAZZANO,M 55-59,23,Wave 4,30:45,4:55,24:59,2:24,25:49,1:28:55,1:42:03
265,172,J Jason PILEGGI,M 50-54,19,Wave 2,20:51,4:06,28:52,2:50,32:24,1:29:05,1:33:04
266,15,M Max SCHWARTZAPFEL,M 30-34,16,Wave 1,19:59,4:42,31:22,2:31,30:36,1:29:12,1:29:12
267,208,R Rebecca ALESI,F 25-29,7,Wave 3,28:24,2:16,31:56,0:49,25:46,1:29:14,1:37:17
268,333,J Jim DALY,M 55-59,24,Wave 4,21:01,2:00,29:07,1:23,35:42,1:29:14,1:42:23
269,26,P Piotr TUZNIK,M 40-44,19,Wave 1,20:58,3:39,32:59,1:23,30:19,1:29:20,1:29:20
270,204,C Colleen BROWN,F 20-24,1,Wave 3,21:31,1:53,35:42,0:57,29:18,1:29:23,1:37:26
271,206,E Emma ROEHRIG,F 20-24,2,Wave 3,19:18,2:26,30:04,1:04,36:31,1:29:26,1:37:29
272,227,A Alice PRENAT,F 35-39,8,Wave 3,25:28,3:34,27:44,4:02,28:36,1:29:26,1:37:29
273,465,R Ryan GOUSE,M 25-29,13,Wave 2,26:15,4:07,31:16,0:55,26:53,1:29:29,1:33:28
274,257,C Cami NEGUS,F 45-49,7,Wave 3,24:39,4:09,29:43,1:45,29:11,1:29:29,1:37:31
275,188,Annmarie LAURITSEN,F 50-54,4,Wave 3,19:00,3:09,31:46,2:17,33:26,1:29:40,1:37:43
276,447,M Mark CRENNAN,M 35-39,21,Wave 1,29:17,7:10,25:49,3:00,24:22,1:29:41,1:29:41
277,244,D Daniella KURITZKY,F 40-44,9,Wave 3,20:52,3:31,31:29,2:25,31:28,1:29:46,1:37:49
278,456,V Veronica LOPEZ,Athena 39-,1,Wave 1,19:28,3:38,28:57,2:47,35:01,1:29:53,1:29:53
279,640,J Joseph JAFFE,M 55-59,25,Wave 4,21:04,7:06,29:42,3:08,29:05,1:30:07,1:43:15
280,429,R Ryan SOMMI,M 25-29,14,Wave 2,23:37,3:13,30:17,2:13,30:50,1:30:12,1:34:12
281,305,D Dean WAGNER,M 55-59,26,Wave 4,19:51,3:23,27:08,2:20,37:29,1:30:14,1:43:22
282,105,G Gianluca VARDARO,M 25-29,15,Wave 2,26:48,1:39,29:38,1:08,31:04,1:30:20,1:34:19
283,391,D Diane BASSO,F 70-74,1,Wave 4,21:57,4:34,29:15,3:09,31:29,1:30:26,1:43:35
284,272,Dawn DESIMONE,F 55-59,11,Wave 3,21:50,2:58,27:22,1:36,36:55,1:30:43,1:38:46
285,341,J Jerry KATZ,M 60-64,20,Wave 4,22:56,1:44,29:56,1:12,34:55,1:30:44,1:43:52
286,212,S Sarah MINICOZZI,F 25-29,8,Wave 3,23:25,2:53,33:42,1:14,29:29,1:30:45,1:38:48
287,197,J Johanna MOUSTOUKA,F 40-44,10,Wave 3,21:58,3:32,29:26,2:26,33:39,1:31:02,1:39:05
288,361,M Mark FRANKEL,M 65-69,9,Wave 4,18:31,3:50,32:20,1:42,34:44,1:31:10,1:44:18
289,234,L Liz CLARK-GARVEY,F 35-39,9,Wave 3,23:43,3:07,31:20,1:08,31:51,1:31:11,1:39:14
290,213,A Alicia ORTIZ,F 25-29,9,Wave 3,21:20,4:48,30:45,1:38,32:46,1:31:19,1:39:21
291,455,M Mark BRUNO,M 45-49,13,Wave 1,25:35,3:28,29:24,1:33,31:22,1:31:23,1:31:23
292,377,F Foo Yuen WONG,M 75-79,1,Wave 4,21:35,4:58,31:44,1:54,31:19,1:31:33,1:44:41
293,205,F Francesca VASILE-COZZO,F 20-24,3,Wave 3,20:49,5:18,35:13,1:30,28:42,1:31:35,1:39:38
294,169,C Chris MASELLI,M 50-54,20,Wave 2,27:34,4:14,25:54,1:39,32:56,1:32:19,1:36:19
295,220,M Michelle MANN,F 30-34,11,Wave 3,24:44,5:26,33:19,1:09,27:43,1:32:24,1:40:26
296,427,P Patricia VENTURINO,F 65-69,2,Wave 4,21:30,4:37,30:26,3:41,32:09,1:32:26,1:45:34
297,178,J Joe POWERS,M 50-54,21,Wave 2,29:48,1:43,29:21,1:11,30:22,1:32:27,1:36:27
298,336,J Joe BRAMBIL,M 60-64,21,Wave 4,25:27,3:24,30:08,2:21,31:23,1:32:45,1:45:54
299,33,T Tom SUTCH,M 35-39,22,Wave 1,26:46,4:17,30:34,1:14,30:05,1:32:58,1:32:58
300,127,J James DELSIGNORE,M 20-24,9,Wave 2,18:12,4:19,35:53,2:59,31:37,1:33:03,1:37:02
301,425,K Kathleen BOOKER,F 65-69,3,Wave 4,33:06,,,,51:43,1:33:11,1:46:19
302,167,G Gary GIERSBACH,M 50-54,22,Wave 2,28:31,4:53,31:03,1:54,26:58,1:33:21,1:37:21
303,348,A Alex IPIOTIS,M 60-64,22,Wave 4,25:27,4:36,25:52,2:03,35:22,1:33:22,1:46:30
304,428,S Sean KEANE,M 14-19,13,Wave 2,22:43,3:29,30:23,1:17,35:50,1:33:44,1:37:44
305,139,P Paul LAGUMINA,M 25-29,16,Wave 2,25:21,4:33,33:24,1:39,28:48,1:33:47,1:37:47
306,202,A Ava TAM,F 14-19,3,Wave 3,24:55,2:32,35:57,1:05,29:42,1:34:13,1:42:16
307,374,J John FURLONG,M 75-79,2,Wave 4,24:41,5:48,29:56,2:52,30:57,1:34:17,1:47:25
308,351,M Michael KAUFMANN,M 60-64,23,Wave 4,21:11,3:36,32:43,1:16,35:36,1:34:23,1:47:31
309,307,R Robert COHEN,M 55-59,27,Wave 4,20:00,5:06,32:31,2:10,34:45,1:34:35,1:47:43
310,196,L Lisa PRAZAK-STOCKWELL,F 40-44,11,Wave 3,20:25,3:21,30:43,2:52,37:16,1:34:40,1:42:42
311,111,H Harrison SCHUSTER,M 14-19,14,Wave 2,23:51,3:15,33:48,1:13,32:33,1:34:43,1:38:42
312,252,D Debra BARBERA,F 45-49,8,Wave 3,25:05,2:47,32:25,1:29,33:05,1:34:53,1:42:56
313,147,B Brian MALONEY,M 45-49,14,Wave 2,25:07,6:44,33:11,2:20,27:48,1:35:12,1:39:12
314,148,J Jeff WILLEMIN,M 45-49,15,Wave 2,23:49,7:59,33:15,2:18,27:49,1:35:13,1:39:13
315,271,C Catherine JACOBSEN,F 55-59,12,Wave 3,26:51,4:13,32:09,3:54,28:31,1:35:40,1:43:43
316,133,P Patrick HEALY,M 25-29,17,Wave 2,22:36,4:15,34:35,1:50,32:24,1:35:41,1:39:41
317,325,T Tony PEZZANO,M 55-59,28,Wave 4,28:05,5:05,31:58,1:21,29:19,1:35:50,1:48:59
318,235,L Lisa AGUILERA,F 35-39,10,Wave 3,22:40,3:52,32:26,3:10,33:42,1:35:52,1:43:55
319,331,L Larry MAGLIONE,M 60-64,24,Wave 4,21:39,5:34,29:00,4:16,35:22,1:35:54,1:49:02
320,384,S Susan CULLEN,F 60-64,7,Wave 4,19:15,5:41,32:49,2:23,36:08,1:36:19,1:49:27
321,358,P Paul ALOE,M 65-69,10,Wave 4,26:05,3:47,31:01,2:37,32:47,1:36:19,1:49:27
322,11,J Jillian JACINTH,F 25-29,10,Wave 1,15:31,1:40,54:01,2:38,22:29,1:36:21,1:36:21
323,399,P Peter MCCUSKER,M Friends/Family,4,Wave 5,30:53,4:05,27:33,2:27,31:47,1:36:47,1:53:48
324,306,D David TRACHTENBERG,M 55-59,29,Wave 4,32:00,6:46,28:45,3:04,26:13,1:36:48,1:49:57
325,424,M Mary SIMMONS,F 60-64,8,Wave 4,25:09,3:20,31:26,2:09,34:45,1:36:52,1:50:00
326,43,M Matthew CAPOZZO,M 30-34,17,Wave 1,27:39,6:08,31:51,2:35,29:08,1:37:22,1:37:22
327,474,A Adriana FITTING,F 55-59,13,Wave 3,26:01,3:08,35:20,2:46,30:05,1:37:23,1:45:25
328,379,L Lea BRYANT,F 60-64,9,Wave 4,24:06,6:33,35:57,1:35,29:23,1:37:36,1:50:44
329,103,R Richard SHAW,M 50-54,23,Wave 2,23:56,3:35,28:05,2:56,39:13,1:37:46,1:41:46
330,161,M Michael RONAN,M 45-49,16,Wave 2,19:27,4:09,29:47,2:44,41:58,1:38:08,1:42:08
331,386,L Louise KAUFMANN,F 65-69,4,Wave 4,24:15,3:28,35:03,1:03,34:35,1:38:25,1:51:34
332,259,C Christina TABORSKY,F 45-49,9,Wave 3,25:10,2:55,31:26,2:23,36:48,1:38:44,1:46:46
333,145,C Conor O'LEARY,M 25-29,18,Wave 2,24:46,5:27,38:03,2:53,27:47,1:38:57,1:42:57
334,473,A Alyssa CHANNIN,F 30-34,12,Wave 3,26:37,3:32,32:31,1:57,34:17,1:38:57,1:47:00
335,370,R Randy KAY,M 65-69,11,Wave 4,26:06,3:41,32:52,1:08,35:30,1:39:19,1:52:27
336,398,J Jeffrey CLAUSEN,M Friends/Family,5,Wave 5,29:09,2:59,39:07,1:16,28:11,1:40:44,1:57:45
337,482,B Barbara CLAY,F 50-54,5,Wave 3,23:02,3:34,32:19,2:28,39:25,1:40:50,1:48:52
338,189,M Monica GOULD,F 55-59,14,Wave 3,33:12,3:32,30:36,2:09,31:39,1:41:09,1:49:12
339,94,A Alberto DELEON,M 40-44,20,Wave 1,39:02,3:32,29:00,2:01,27:39,1:41:16,1:41:16
340,403,O Olivia GREISS,F Friends/Family,1,Wave 5,23:03,4:34,37:25,2:02,34:33,1:41:40,1:58:41
341,96,A Andrew MURPHY,M 40-44,21,Wave 1,36:53,3:49,28:52,2:38,29:39,1:41:53,1:41:53
342,198,D Dora SANTAMARIA-YAO,F 55-59,15,Wave 3,25:37,3:30,31:58,2:55,37:55,1:41:57,1:50:00
343,376,S Steven GREENBERG,M 75-79,3,Wave 5,22:13,5:03,29:06,3:29,42:10,1:42:04,1:59:05
344,245,E Elizabeth CASTELLANO,F 40-44,12,Wave 3,25:38,3:51,32:50,2:54,37:06,1:42:22,1:50:25
345,277,Stephanie TEMPLETON,F 55-59,16,Wave 3,33:04,5:19,32:23,1:48,30:00,1:42:37,1:50:39
346,487,M Moh KHADEER,M 55-59,30,Wave 4,29:16,4:23,32:26,1:32,35:04,1:42:42,1:55:50
347,261,A Ana ENG,F 50-54,6,Wave 3,25:25,5:50,31:24,2:54,37:34,1:43:08,1:51:10
348,222,B Brittney FLYNN,F 30-34,13,Wave 3,26:08,4:15,34:21,1:45,36:41,1:43:13,1:51:16
349,488,H Heather GINSBERG,F 55-59,17,Wave 3,26:12,6:40,33:08,1:48,35:43,1:43:34,1:51:36
350,62,K Kenneth OLDENBURG,M 35-39,23,Wave 1,25:48,3:43,39:09,3:03,31:53,1:43:38,1:43:38
351,177,J Joseph MAIORANA,M 50-54,24,Wave 2,31:31,5:47,30:51,2:44,33:20,1:44:16,1:48:15
352,347,J Jonathan LIPSHIE,M 60-64,25,Wave 4,28:32,7:23,30:55,2:33,34:58,1:44:22,1:57:31
353,191,J Jean ROSS,F 35-39,11,Wave 3,35:03,3:24,35:52,2:19,27:58,1:44:38,1:52:41
354,74,Edward VINCENT,M 35-39,24,Wave 1,26:20,5:01,40:52,3:40,29:12,1:45:06,1:45:06
355,359,E Ethan AUSLANDER,M 65-69,12,Wave 4,36:36,4:49,30:34,1:41,31:29,1:45:11,1:58:19
356,312,A Anthony D'ALLEVA,M 55-59,31,Wave 4,24:07,7:32,34:30,1:24,37:54,1:45:29,1:58:37
357,422,J Jennifer DESENA,F 50-54,7,Wave 4,30:19,4:28,36:53,1:26,32:24,1:45:32,1:58:40
358,280,M Maria I GARCIA,F 55-59,18,Wave 3,28:30,5:20,35:26,3:03,33:49,1:46:10,1:54:12
359,400,R Rachel FOX,F 55-59,19,Wave 4,29:01,4:11,36:20,1:20,35:22,1:46:16,1:59:24
360,471,V Victoria BRUCHHAUSER,F 20-24,4,Wave 3,24:28,3:27,44:55,1:34,31:56,1:46:22,1:54:25
361,270,C Carolyn OH,F 55-59,20,Wave 3,29:57,5:36,32:47,1:56,36:32,1:46:51,1:54:53
362,79,J Juan Luis CALISTO,M 40-44,22,Wave 1,28:26,6:33,30:59,2:54,37:58,1:46:52,1:46:52
363,349,C Charles BRAVO,M 60-64,26,Wave 4,29:09,5:58,37:37,2:38,31:47,1:47:10,2:00:18
364,215,S Sara KISSINGER,F 25-29,11,Wave 3,29:39,3:39,37:49,1:55,34:16,1:47:21,1:55:24
365,281,T Tania DANIELSON,F 55-59,21,Wave 3,26:38,8:08,37:44,2:57,32:31,1:48:00,1:56:02
366,375,C Charles GLEASON,M 75-79,4,Wave 4,25:19,7:28,29:44,3:13,42:23,1:48:10,2:01:18
367,478,F Francis FERRANTE,M 65-69,13,Wave 4,32:22,7:22,34:54,1:49,31:43,1:48:12,2:01:21
368,77,S Steven LETOSKY,M 35-39,25,Wave 5,25:09,8:58,38:18,2:15,33:46,1:48:28,2:05:29
369,310,W Wade GARNETT,M 55-59,32,Wave 4,33:40,6:09,34:05,2:31,32:28,1:48:56,2:02:04
370,256,L Laura CHESNOWITZ,F 45-49,10,Wave 3,24:40,4:48,37:32,2:33,39:41,1:49:16,1:57:19
371,260,S Sami GROFF,F 50-54,8,Wave 3,33:11,3:28,35:03,1:08,36:33,1:49:26,1:57:29
372,290,M Mary Ellen LUTZKY,F 60-64,10,Wave 4,26:58,4:43,33:25,2:06,43:12,1:50:27,2:03:35
373,586,J Joy CIARDULLO,F 60-64,11,Wave 4,26:56,5:52,41:17,2:19,36:11,1:52:38,2:05:46
374,402,J Jack DIMAGGIO,M 55-59,33,Wave 4,44:18,2:58,32:35,0:53,31:55,1:52:41,2:05:49
375,390,H Helene KATZ,F 65-69,5,Wave 4,27:41,5:56,34:02,1:33,43:37,1:52:50,2:05:59
376,258,J Jennifer KO,F 45-49,11,Wave 3,30:25,5:34,38:49,2:31,35:45,1:53:05,2:01:08
377,335,M M. Daniel BACH,M 60-64,27,Wave 4,32:13,6:55,32:56,2:28,38:51,1:53:25,2:06:33
378,300,M Mindy DAVIDSON,F 60-64,12,Wave 4,33:19,2:48,40:06,1:56,35:25,1:53:36,2:06:44
379,47,K Kirill MARTYNOV,M 30-34,18,Wave 1,38:51,4:36,33:40,1:58,34:56,1:54:03,1:54:03
380,426,J Joanne PALISI,F 65-69,6,Wave 4,30:13,3:21,35:05,2:58,43:00,1:54:38,2:07:46
381,440,P Paul FITZPATRICK,M 55-59,34,Wave 4,33:04,3:17,33:03,2:28,43:43,1:55:37,2:08:45
382,156,Y Yusuf OSMANI,M 45-49,17,Wave 2,30:43,4:28,30:59,3:01,47:23,1:56:37,2:00:36
383,168,S Sonny BARBERA,M 50-54,25,Wave 2,28:46,7:34,41:52,2:45,36:14,1:57:13,2:01:13
384,365,M Myung YI,M 65-69,14,Wave 4,40:38,3:28,34:56,2:23,35:58,1:57:26,2:10:34
385,639,J Janine SCARLATOS,F 50-54,9,Wave 3,36:50,3:56,39:23,1:15,36:30,1:57:57,2:05:59
386,389,M Meredith LEWIN,F 65-69,7,Wave 4,20:34,6:46,40:59,4:25,46:16,1:59:01,2:12:09
387,421,L Lauren ZWEIFLER-RUDICK,F Friends/Family,2,Wave 5,28:18,5:34,49:15,1:54,35:32,2:00:35,2:17:36
388,439,D Daniel RUDICK,M Friends/Family,6,Wave 5,23:07,10:39,46:01,5:15,35:32,2:00:36,2:17:37
389,480,C Christina BELLINI,F 45-49,12,Wave 3,47:38,4:57,32:30,1:53,34:17,2:01:17,2:09:20
390,362,P Paul LETOSKY,M 65-69,15,Wave 4,31:16,7:17,37:43,2:16,42:54,2:01:29,2:14:37
391,173,J Joe DIGAETANO,M 50-54,26,Wave 2,26:44,5:09,38:37,3:33,48:31,2:02:36,2:06:36
392,104,B Billy HENEHAN,M 45-49,18,Wave 2,54:33,5:19,35:04,1:11,26:49,2:02:57,2:06:57
393,342,J John HEALY,M 60-64,28,Wave 4,22:11,5:32,38:35,4:05,52:54,2:03:19,2:16:27
394,254,M Manyen CHIN,F 45-49,13,Wave 3,43:10,4:21,40:13,1:43,35:04,2:04:33,2:12:36
395,102,G Greg SIVIN,M 50-54,27,Wave 2,50:41,7:12,35:32,2:36,28:45,2:04:48,2:08:47
396,231,R Rachel TAYLOR,F 35-39,12,Wave 3,32:08,3:57,40:44,2:19,46:57,2:06:08,2:14:10
397,355,O Oswaldo BARACALDO,M 60-64,29,Wave 4,49:08,4:52,37:07,2:26,33:31,2:07:06,2:20:14
398,150,S Steve FRANKLE,M 45-49,19,Wave 2,41:17,9:45,40:48,1:45,35:28,2:09:05,2:13:04
399,285,I Isaac BAKER,M 20-24,10,Wave 5,40:11,5:05,42:26,3:17,38:05,2:09:05,2:26:06
400,286,M Mary JOHNSON,F 30-34,14,Wave 4,31:09,6:00,47:29,4:11,42:13,2:11:04,2:24:12
401,273,S Sandra CULLEN,F 55-59,22,Wave 3,36:48,5:32,41:42,3:49,47:34,2:15:27,2:23:29
402,413,D Dena KLEIN,F 20-24,5,Wave 3,49:13,,,,42:13,2:16:10,2:24:12
403,324,J Jody STAHL,M 55-59,35,Wave 4,35:31,6:39,37:14,3:52,54:51,2:18:09,2:31:18
404,284,J Jeanne STERN,F 60-64,13,Wave 3,29:13,7:39,46:13,3:43,51:30,2:18:20,2:26:22
405,294,M Matthew BYRNE,M 60-64,30,Wave 4,34:37,9:59,34:26,3:45,58:22,2:21:11,2:34:19
406,288,C Charlie PLASKON,M 75-79,5,Wave 4,34:37,10:00,34:25,3:46,58:22,2:21:12,2:34:20
407,366,L Lawrence SCHAFFER,M 65-69,16,Wave 1,38:19,2:49,43:50,1:57,54:50,2:21:47,2:21:47
408,475,H Haley CARSTENSEN,F 30-34,15,Wave 4,42:31,7:48,38:35,2:20,51:35,2:22:50,2:35:59
409,636,S Sarah HELLER,F 45-49,14,Wave 4,42:31,7:48,38:34,2:19,51:35,2:22:51,2:35:59
410,388,B Barbara STANLEY,F 65-69,8,Wave 4,40:51,7:49,42:52,4:55,50:11,2:26:40,2:39:48
411,378,A Alan END,M 75-79,6,Wave 4,38:28,5:21,42:45,2:29,58:23,2:27:27,2:40:35
412,293,M Mara DAMICO,F 40-44,13,Wave 4,29:25,7:48,1:10:51,1:33,43:39,2:33:17,2:46:25
413,414,A Amanda BAKER,F 25-29,12,Wave 3,40:06,2:13,1:10:50,1:32,43:38,2:38:22,2:46:25
