Place,Bib,Name,Division,Division Place,Wave,Swim,T1,Bike,T2,Run,Chip Time,Clock Time
52,60,A Anthony ZITO,M 35-39,4,Wave 1,16:58,2:01,23:01,1:35,24:33,1:08:10,1:08:10
53,17,K Kelly PICKARD,Top10 Female,7,Wave 4,15:36,2:14,23:22,1:14,25:45,1:08:13,1:21:21
54,216,K Kathleen LENNON,Top10 Female,8,Wave 3,16:28,2:25,24:58,1:04,23:43,1:08:40,1:16:42
55,88,E Erik SYVERTSEN,M 40-44,4,Wave 1,22:59,2:13,21:31,1:32,20:25,1:08:42,1:08:42
56,28,M Max HAFEN,M 20-24,4,Wave 1,15:59,1:47,25:56,0:56,24:08,1:08:48,1:08:48
57,179,C Christopher CORTES,M 50-54,5,Wave 2,18:55,1:24,23:57,1:08,23:32,1:08:57,1:12:57
58,100,C Coles ROMAINE,M 25-29,3,Wave 2,18:09,2:04,26:20,1:39,20:49,1:09:03,1:13:03
59,107,R Richard KOPEC,M 45-49,2,Wave 2,17:14,3:01,22:34,1:34,24:47,1:09:11,1:13:11
60,313,R Roman SCOCCIMARRO,M 55-59,3,Wave 4,16:33,1:41,24:34,1:21,25:05,1:09:16,1:22:25
61,323,D Danny SELCOW,M 55-59,4,Wave 4,19:14,1:31,24:12,1:13,23:14,1:09:26,1:22:34
62,339,L Lawrence MARALDO,M 60-64,2,Wave 4,15:22,2:17,24:02,1:18,26:29,1:09:30,1:22:38
63,201,M Marissa MCDOUGALL,Top10 Female,9,Wave 3,15:01,2:21,28:10,0:53,23:05,1:09:32,1:17:35
64,18,T Theresa MATTEI,Top10 Female,10,Wave 3,14:38,2:23,26:30,1:03,25:18,1:09:54,1:17:56
65,330,D Daniel KATZ,M 55-59,5,Wave 4,18:10,2:50,22:01,2:03,25:06,1:10:12,1:23:21
66,151,S Sean CHICK,M 45-49,3,Wave 2,19:25,2:01,23:15,1:37,23:58,1:10:18,1:14:18
67,72,M Michael BILARDELLO,M 40-44,5,Wave 1,15:09,2:58,28:00,1:16,22:55,1:10:20,1:10:20
68,91,S Steve HALL,M 40-44,6,Wave 1,19:29,1:41,24:29,1:29,23:17,1:10:26,1:10:26
69,457,B Barbara CRONIN-STAGNARI,Top5 F Masters,1,Wave 1,15:45,1:42,23:55,1:11,28:13,1:10:49,1:10:49
70,462,P Philip CLAPS,M 60-64,3,Wave 1,19:21,1:59,24:01,1:28,24:10,1:11:01,1:11:01
71,162,J John MICENA,M 45-49,4,Wave 2,16:25,1:57,24:22,1:34,26:49,1:11:10,1:15:09
72,165,J Jeff HUTSON,M 50-54,6,Wave 2,18:59,3:55,22:08,2:01,24:05,1:11:11,1:15:11
73,90,K Kevin FIORI,M 40-44,7,Wave 1,18:12,2:34,23:50,1:55,24:43,1:11:16,1:11:16
74,248,T Teresa ESTRELLA,Top5 F Masters,2,Wave 3,16:53,1:32,26:38,1:18,24:58,1:11:21,1:19:24
75,171,T Thomas CAPRUSO,M 50-54,7,Wave 2,19:56,2:37,22:20,2:06,24:25,1:11:26,1:15:26
76,484,N Nick LALVANI,M 40-44,8,Wave 1,21:13,1:10,23:56,0:56,24:22,1:11:39,1:11:39
77,357,D Don BOND,M 65-69,2,Wave 4,16:34,2:45,25:03,1:24,26:05,1:11:53,1:25:01
78,10,P Pam PAPALEO,F 35-39,1,Wave 3,19:03,1:46,23:24,1:30,26:14,1:11:59,1:20:01
79,135,L Liam GAGLIANO,M 25-29,4,Wave 2,19:41,2:19,24:44,1:42,23:38,1:12:06,1:16:05
80,35,P Paul KARAVIS,M 40-44,9,Wave 1,20:53,2:49,25:31,1:12,21:40,1:12:08,1:12:08
81,430,J Joseph SNYDER,M 25-29,5,Wave 2,17:31,1:57,26:16,0:51,25:36,1:12:14,1:16:13
82,66,K Kevin O'TOOLE,M 35-39,5,Wave 1,20:43,2:34,25:55,1:34,21:36,1:12:24,1:12:24
83,110,M Max SCHWALM,M 14-19,8,Wave 2,13:06,3:02,30:46,0:48,24:42,1:12:25,1:16:25
84,130,A Anthony MARINO,M 25-29,6,Wave 2,23:23,1:29,23:36,1:11,22:59,1:12:41,1:16:40
85,180,J Jorge AGUIRRE,M 50-54,8,Wave 2,15:39,2:04,26:14,1:39,27:13,1:12:51,1:16:51
86,159,M Matthew HART,M 45-49,5,Wave 2,16:25,2:10,24:50,1:24,28:03,1:12:54,1:16:54
87,221,Sasha GIFFORD,F 30-34,1,Wave 3,21:54,1:51,25:32,1:29,22:07,1:12:55,1:20:57
88,410,J Juergen SEULING,M 55-59,6,Wave 4,20:40,1:49,24:22,1:28,24:52,1:13:13,1:26:21
89,416,D Danielle ARONOWITZ,F 30-34,2,Wave 3,16:54,2:32,25:31,1:19,26:57,1:13:15,1:21:17
90,463,J Joel ROSENSTRAUS,M 65-69,3,Wave 4,18:40,4:17,22:54,1:43,25:46,1:13:21,1:26:29
91,253,G Gina PRINZEVALLI,Top5 F Masters,3,Wave 3,20:40,2:25,26:06,1:26,22:49,1:13:28,1:21:30
92,71,M Matthew CORCORAN,M 35-39,6,Wave 1,20:12,2:47,25:43,0:55,23:59,1:13:38,1:13:38
93,264,L Laura RYAN,Top5 F Masters,4,Wave 3,18:33,1:29,24:49,1:11,27:45,1:13:49,1:21:51
94,40,A Aaron LEE,M 30-34,4,Wave 1,18:22,3:38,26:33,1:32,23:47,1:13:53,1:13:53
95,327,M Mark THOMPSON,M 60-64,4,Wave 4,21:33,1:57,24:23,1:34,24:26,1:13:55,1:27:03
